TitleEng,TitleRus,Genre,Story,Rating
Wind Breaker,Ветролом,В цвете Веб Драма Комедия Повседневность Романтика Сёнен Спорт Школа Экшен ," Ветролом - драма о юных уличных гонщиках, мечтающих о свободе. Главный герой - Джа Хён - сын успешных родителей и лучший ученик в своей школе. Он никогда не знал, что значит «бороться за свою мечту», ведь вся его жизнь определялась родителями, которые хотят для сына только одного - успешного окончания школы. Но однажды Джа Хён, с детства любящий велоспорт, оказывается втянут в деятельность местных гонщиков, что заставляет героя пересмотреть приоритеты родителей и прислушаться к себе, ведь на своем новом пути он обретает друзей, любовь и приключения. ",9.46
Is there a vacant room?,Найдется свободная комната?,В цвете Веб Повседневность Романтика Хентай Этти ," Не имея возможности позволить себе достойное жилье, и устав от шумных соседей, главный герой снимает комнату в доме, где, как ему кажется, он сможет наконец спать спокойно... вот только все его новые соседи - женщины... действительно ли он сможет обрести тут свой долгожданный покой? ",9.3
The Star Seekers,Искатели звезд,Боевые искусства В цвете Вампиры Демоны Драма Игры Магия Мистика Приключения Сверхъестественное Триллер Фантастика Фэнтези ," Эпоха магии. Мир, где преобладают волшебные айдолы. В эти необычные времена обыкновенная айдол-группа под названием Star One внезапно наделяется магическими способностями. И вместе с этим появляется таинственный враг. Когда-то непопулярная айдол-группа обнаруживает, что перед ней стоит задача спасти мир. Смогут ли они взять на себя эту огромную ответственность за восстановление мира? Искатели звезд вместе в TOMORROW X TOGETHER. ",9.0
The second husband is desperate and depressed.,Мой второй муж в печали,В цвете Веб Драма Исекай Комедия Романтика Сёдзе Фантастика ," Сегодня мне исполнилось 40 лет. После дня, как я готовилась по случаю дня рождения, я легла спать, но на следующий день проснулась молодой и в старой коморке. Услышав оскорбления от свекрови и ее сестер, только тогда я поняла, что я вернулась на двадцать лет назад. Чтобы не прожить свою жизнь, как и раньше, где я не видела и лица своего первого мужа. Чтобы все самые лучшие годы жизни не улетели в мусорное ведро, я решила изменить свою жизнь и выйти замуж за герцога Яна Терона. ",9.29
Second marriage of the Empress,Второй брак императрицы,В цвете Веб Дзёсей Драма Магия Романтика ," Навье была идеальной императрицей, однако императору нужна была жена, а не коллега. И вот император оставил императрицу Навье и взял в наложницы рабыню Рашту. Всё было прекрасно, пока Навье не услышала, как император пообещал рабыне место императрицы. После долгих мучений Навье решила, что она снова выйдет замуж. ",9.56
The Star Seekers,Искатели звезд,Боевые искусства В цвете Вампиры Демоны Драма Игры Магия Мистика Приключения Сверхъестественное Триллер Фантастика Фэнтези ," Эпоха магии. Мир, где преобладают волшебные айдолы. В эти необычные времена обыкновенная айдол-группа под названием Star One внезапно наделяется магическими способностями. И вместе с этим появляется таинственный враг. Когда-то непопулярная айдол-группа обнаруживает, что перед ней стоит задача спасти мир. Смогут ли они взять на себя эту огромную ответственность за восстановление мира? Искатели звезд вместе в TOMORROW X TOGETHER. ",9.0
The second husband is desperate and depressed.,Мой второй муж в печали,В цвете Веб Драма Исекай Комедия Романтика Сёдзе Фантастика ," Сегодня мне исполнилось 40 лет. После дня, как я готовилась по случаю дня рождения, я легла спать, но на следующий день проснулась молодой и в старой коморке. Услышав оскорбления от свекрови и ее сестер, только тогда я поняла, что я вернулась на двадцать лет назад. Чтобы не прожить свою жизнь, как и раньше, где я не видела и лица своего первого мужа. Чтобы все самые лучшие годы жизни не улетели в мусорное ведро, я решила изменить свою жизнь и выйти замуж за герцога Яна Терона. ",9.29
Second marriage of the Empress,Второй брак императрицы,В цвете Веб Дзёсей Драма Магия Романтика ," Навье была идеальной императрицей, однако императору нужна была жена, а не коллега. И вот император оставил императрицу Навье и взял в наложницы рабыню Рашту. Всё было прекрасно, пока Навье не услышала, как император пообещал рабыне место императрицы. После долгих мучений Навье решила, что она снова выйдет замуж. ",9.56
Bodyguard of the Goddess,Телохранитель богини,Боевые искусства В цвете Веб Гарем Романтика Сёнен ," Сяо Чжэн был вынужден подписать брачный и трудовой контракт после того, как провел одну ночь с женщиной-руководителем New Arcana Group. За это время он познакомился со многими интересными работницами, которых он назвал особыми именами, основываясь на их уникальных характерах…Ледяная Богиня ... Тираннозавр / Повелительница Цветов... Нежный Босс... Озорная Школьница… ",8.17
Everything was an illusion,Все было иллюзией,В цвете Веб Драма Исекай Романтика Сёдзе Фэнтези ," В один день Дюруа Бальроуз осознаёт, что переродилась в качестве злодейки новеллы, которой суждено умереть от рук протагониста, Ноктона Эдгара. Намереваясь изменить свою судьбу, она пытается подружиться с будущим убийцей, не зная о том, что он является единственным чёрным магом, способным слышать, чувствовать и даже контролировать людские мысли и эмоции.  Для Ноктона Дюруа - загадка. Она первая, на кого не подействовала его магия. Сей факт одновременно интригует и настораживает молодого герцога.  Между ними завязывается напряжённая дружба, но Дюруа не имеет понятия, изменилась история в лучшую или худшую сторону. Сможет ли она переписать трагичный конец и избежать смерти? ",8.0
One-hit kill,Одним ударом,Драма Самураи Сейнен Экшен ," Военно-историческая манга о крестьянине, который попал в самураи и оказался в гуще смуты конца эпохи Эдо. ",8.0
Aegis Orta,Аегис Орта,В цвете Веб Демоны Детектив Драма Комедия Мистика Сверхъестественное Сёнен Ужасы Фэнтези Школа Экшен ," Вал - обычный ученик средней школы, который посвятил свою жизнь Богу. Однако его спокойные дни закончились, когда он узнал о том, кто он на самом деле... ",8.0
Player,Игрок,В цвете Веб Исекай Комедия Магия Фэнтези Экшен ," Хо Сольчжин обычный ученик старшей школы неудачник и трус, который не смог найти друзей в своем классе .Однажды он написал смелый комментарий под вебтуном, который читал, а автором этого вебтуна оказался некий бог ,вследствие он воспринял всерьёз комментарий Хо Сольчжина и воплотил его в жизнь . Как сложится дальнейшая жизнь Хо Сольчжина? ",7.3
Team Medical Dragon,"Команда ""Дракон Медицинский""",Драма Психологическое Сейнен Хентай Этти ," Асада Рютаро - гениальный хирург, чьи методы выглядят дикими в глазах других японских врачей, приглашен в госпиталь при одном университете для проведения сложнейшей кардиологической операции, необходимой для сбора материалов к научной диссертации. Однако, госпиталь получает совсем не то, чего ожидал: Асада отказывается подчиняться эгоистичным махинациям служащих госпиталя. Благодаря сочувствию пациентам и наплевательскому отношению к устаревшим правилам, он вскоре заводит друзей.. и множество недоброжелателей. ",8.5
"ibeon saeng-eun jedaelo kiwodeuligessseubnida, pyeha!","Ваше Высочество, на этот раз я стану для вас хорошей матерью!",В цвете Веб Драма Исекай Магия Романтика Фантастика ," В тот день, когда её мечта исполнилась, она отправилась к своему сыну, который уже умирал от яда, ведь выпил он его сам.  “Я... никогда не был счастлив”.  Только отчаяние осталось у Эллизы, которая держалась за холодный труп своего сына.  “Леон...”  Однако, потеряв сознание, она проснулась и обнаружила, что её маленький сын смотрит на нее своими милыми глазками!  “Если это не сон, если это действительно новая возможность… Я украла у тебя столько прекрасных моментов жизни, и лишь во имя того, что делаю это для тебя, так что, если ты попросишь меня о чем то, я сделаю все, что ты захочешь”.  Эллиза, которая поклялась стать хорошей матерью в этой жизни, вместо того, чтобы продолжать убивать и проливать кровь на войне, претендовать на императорский трон, делает отличный от прошлого выбор, связывая себя узами со своим пасынком, наследным принцем. ",8.86
How to fight,Борьба в прямом эфире,Боевые искусства В цвете Веб Драма Комедия Романтика Сёнен Школа Экшен ," Ю Хобин, ничем не выделяющийся школьник, над которым постоянно издеваются его одноклассники отморозки, которые чувствуют свое преимущество над ним, но ему ничего не остается, кроме как и дальше игнорировать их, потому что его жизнь и без того полна трудностей. Однако один непредвиденный инцидент полностью переворачивает его жизнь. Он становится знаменитым благодаря случайно загруженному и ставшему хайповым видео! Деньги и популярность, что может быть лучше!? Но так как все вышло случайно, повторить успех первого ролика будет уже не так просто. Искушенный запахом денег, которые можно на этом поднять, и его внезапным всплеском популярности, он планирует сделать более увлекательные контент, который будет интересен людям и поможет ему собрать больше подписчиков...но что бы достичь этого Хобину предстоит научиться сражаться, и именно с этого момента начинается история его канала HOW TO FIGHT! ",8.82
My Family is Obsessed with Me,Моя семья одержима мной,В цвете Веб Драма Исекай Магия Романтика Сёдзе Фантастика Фэнтези ," В прошлой жизни я была воином, однако умерла из-за предательства. Переродившись, я решила отомстить, но что-то пошло не так: меня похитили и отправили в приют.  - Почему бы тебе не пойти со мной?  Меня удочерила богатая семья, но через три года я решила покинуть их.  - Ты уходишь? Действительно бросаешь нас?..  Членам семьи это совсем не понравилось. Почему они так мной одержимы? ",9.86
I was born the Villainess' daughter,Я родилась дочерью злодейки,В цвете Веб Исекай Магия Романтика Сёдзе Фэнтези ," Я родилась дочерью злодейки из романа.  Когда я родилась, моя мать уже совершила свои злодеяния. Она была прикована к башне и вскоре ей предстояла мучительная смерть от рук главного героя.  Посмотрев на свою мать, которая до самой смерти звала своего бывшего мужа, я взяла ее за руки. Моя маленькая рука переплелась с большой, грубой рукой матери и ее глаза, полные тепла, обратились ко мне.  - Я понимаю, мама.  - …  - Не мучайся больше и спи спокойно.  Не жди папу, который не придет.  Слезы потекли из глаз моей матери при этих словах, и вскоре она мирно заснула. Поскольку «Злодейка» из романа уже мертва, я, ее дочь, буду забита до смерти людьми завтра вечером.  И начнется вторая часть романа.  Теплая история, в которой дочь главных героев начинает свое приключение, полное счастья. Но я не хотела умирать, и не собиралась позволять истории течь именно так.  «Быть злым - это нормально».  Я решила полностью переписать вторую часть романа, потому что это жизнь, которая, так или иначе, всё равно может закончится в любой момент. ",9.3
Nano Machine,Наномашины,В цвете Веб ЛитRPG Приключения Фэнтези Экшен ," Главный герой - Чон-Е-Ун. Чон-Е-Ун занимает шестое место в очереди наследования, являясь не только бастардом, но и магом. За магию его презирают. Из-за происхождения за его жизнью идёт охота. Чон-Е-Ун умирает. Его спасает его же потомок из будущего и... Это переломный момент в жизни Чон-Е-Уна, который пытается стать лучшим не только среди магов, но и среди бойцов. ",8.92
Overgeared,Во всеоружии (Новая рисовка),В цвете Веб Героическое фэнтези Игры Приключения Сёнен Фэнтези Экшен ," В реальности, в играх, где бы он ни был, ему сопутствуют неудачи... Но в один момент всё меняется. В игре конце Северной пещеры он обнаружит квест, в котором найдёт ""Редкую книгу Пагмы""... Ему удастся то, что не удалось сотням миллионов пользователей.- Как ты выжил?- Ничего особенного. ",9.03
Dungeon reset,Перезапуск подземелья,В цвете Веб Героическое фэнтези Игры Исекай ЛитRPG Приключения Сёнен Фэнтези ," [Идет перезагрузка Подземелья.]  Подземелье или ловушки, в которых была игра, проходят стадию перезагрузки для следующих пользователей.Может, эта «перезагрузка» применима и ко мне?!  Единственное существо, которое свободно от постоянно перезапускаемой Пещеры. Вооружившись грандиозной силой, Чон Да Ун начинает освоение Подземелья! ",8.7
Sword King,Король меча,В цвете Веб Игры Исекай Комедия Приключения Сёнен Фэнтези Экшен ," ""Вы выбраны в качестве подходящего игрока"" ""Вероятность выживания в Зельха Латне с Вашими способностями составляет менее [5%]"" ""Вы хотите покончить с собой? Да/Нет"" ""Су**"" Вероятность выживания менее 5%. 22 года. Бесчисленное количество битв с Адскими псами. Я остался один в этом аду. Скрытая за 5 уровнем статистика! ",8.82
Eleceed,Элисед,В цвете Веб Комедия Приключения Фэнтези Экшен ," Кайден - загадочный человек, который словно комета спустился с неба. Весь израненный, почти потерявший последние силы, он решает скрыть свое присутствие - ведь по-другому от погони не уйти. По дороге Кайден встречает обычную дворовую кошку и, почти не думая, решает вселиться в ее тело. Со Чжи У - энергичный и общительный молодой человек из средней школы, который очень любит кошек. Один раз по пути домой он встречает до боли потрепанного кота и берет его к себе домой. Наш У не только добрый, но еще и обладает одной скрытой способностью. Какой же? ",9.21
Very Pure,Очень просто и очень запутано,Боевые искусства В цвете Гарем Драма Комедия Романтика Школа Экшен Этти ," Ян Мин – воплощение хулигана, прогуливает школу, ввязывается в драки, жульничает на экзаменах, но в один прекрасный день он получает от старика таинственную пару контактных линз, которые изменят всю его жизнь. ",8.07
Golden Kamuy,Золотое божество,Драма Исторический Комедия Приключения Романтика Сейнен Экшен ," В Хоккайдо, далеко на северных землях Японии, Сугимото пережил русско-японскую войну эпохи Мейдзи. Прозванный Непобедимым Сугимото во время войны, теперь он ищет богатства, обещанные золотой лихорадкой, в надежде спасти овдовевшую жену своего покойного товарища. Во время своей охоты на золото он находит намеки на скрытый притон золота, корумпированный преступниками. Вместе с девушкой Айну, которая спасает его от сурового северного климата, они отважились на смертельное приключение против преступников, ищущих скрытый тайник ",9.12
Tensei Kizoku no Isekai Boukenroku ~Jichou wo Shiranai Kamigami no Shito~,Невообразимые приключения перерожденного дворянина,Гарем Исекай Исторический Приключения Романтика Сёнен Фэнтези Экшен ," Главный герой — Кадзуя Сиина, погибший при необъяснимых обстоятельствах, связанных с его подругой, которая была, как ни странно, помешана на фэнтезийных мирах меча и магии. Как сейчас часто бывает, Кадзуя перерождается в теле юного аристократа Каина фон Силфорда. По обычаям этого мира я был крещен в мой пятый день рождения. Но что-то пошло не так и я получил особое магическое умение, именуемое «Благословение Богов». Что же это получается, сами боги этого мира обратили на меня внимание и решили защищать?.. Мой статус резко изменился, какие же испытания ждут меня? ",8.85
Danshi Koukousei wo Yashinaitai Oneesan no Hanashi,"История о даме, которая хочет накормить старшеклассника",Комедия Повседневность Романтика Сёнен ," Когда родители Сорамото Минору оставили его с большими долгами, соседка Онэ-сан спасает его и заботиться о нём. Так начинается новая жизнь Минору с красивой девушкой Онэ-сан, которая считает его очень симпатичным и хочет уберечь его. ",8.32
They Say I Was Born a King's Daughter,"Мне сказали, что я переродилась дочкой Короля",В цвете Веб Дзёсей Драма Исекай Комедия Повседневность Романтика Сверхъестественное Сёдзе Фантастика Фэнтези ," Жертва убийцы-преследователя перерождается в дочь короля, помня о своей прошлой жизни. Она оказывается в альтернативной вселенной, где несмотря на прекращение войн и научный прогресс, к женщинам относятся как к людям второго сорта. ",8.77
Tower of God,Башня Бога,В цвете Веб Детектив Драма Комедия Магия Приключения Психологическое Романтика Сверхъестественное Сёнен Супер сила Фантастика Фэнтези Экшен ," В мире появилась таинственная сила, известная как Шинсу. А ещё есть Башня — дом для людей, которые пользуются преимуществами Шинсу и называют себя «избранными». Говорят, достигший вершины Башни исполнит все свои желания. Чтобы добраться до верха, «Избранные», отобранные хранителем Башни, обязаны пройти испытания… И вместе с ними на Башню взбирается Баам — главный герой и «Незаконный», который сам открыл себе двери. Он делает это с одной-единственной целью — найти Рахиль, что была для него всем ",9.32
MookHyang - Dark Lady,Мукхян - Дарк Леди,Боевые искусства В цвете Веб Исекай Меха Повседневность Приключения Сёнен Смена пола Фэнтези Экшен ," Будучи мастером школы темных искусств и непобедимым незыблемым истым демоном, Мукхян, к несчастью, попадает в странный фэнтезийный мир из-за магии своих врагов (школа искусств крови). В новом мире эльфов, колдунов, рыцарей и драконов, разворачивается приключение Мукхяна по поиску пути назад в его старый мир, Мурим. ",8.66
The Last Human,Последний человек,В цвете Постапокалиптика Сверхъестественное Ужасы Школа ," Зё Тянчен – последний выживший человек в городе, зараженном зомби-инфекцией. Будучи на грани смерти, он внезапно оказался в своем теле десять лет назад, когда город еще не был заражен. Он решил, что в этот раз спасет близких ему людей и воссоединится со своей старой любовью. Следите за его приключениями, в которых он использует свои воспоминания о следующих 10 годах, чтобы выжить и спасти своих близких! ",8.87
Martial Master,Боевой Мастер,Боевые искусства В цвете Веб Сверхъестественное Сёнен Фэнтези Экшен ," Легендарный боевой мастер Саймон был предан друзьями и жестоко убит. Спустя триста лет он возродился в незаконнорожденном ребенке из королевской семьи, который был обманут. Со своей прошлой силой, Саймон снова создает свою легенду на этой земле. Наверняка, это будет месть и победа, дорога, полная крови! ",8.13
"Surgeon, live again",Вторая жизнь хирурга,Боевые искусства В цвете Веб Детектив Исекай Приключения Сверхъестественное Сёнен Фэнтези ," Поехал на медицинское волонтёрство, а попал на гражданскую войну. Хотел спасти пациента – получил пулю и умер. А после… стал ребенком?! Разграбленные повозки, люди в необычных одеждах – всё это напоминает мир Мурим. Оказав первую помощь пострадавшим, после встретив спасательный отряд из «Лечебницы трёх поколений поднебесной» и самого Пэк Рин Ый Сона, я осознал, что нахожусь в мире романа про боевые искусства «Величайший небесный демон». Один из тогда спасённых мною – главный герой книги, будущий небесный демон – Ё Ха Рюн. «Эй, за то, что спас, можешь звать меня старшим братом» – вот так мы с ним сдружились. А Пэк Рин Ый Сон, рассмотревший во мне талант, стал мне учителем. Меня зовут Чин Чхон Хи, я - последняя надежда Канхо, и это моя история! ",8.84
Niehime to Kemono no Ou,Принесённая в жертву Принцесса и Царь зверей,Драма Романтика Сёдзе Фэнтези ," Страна, где людей подают как основное блюдо.Девочка, принесённая в жертву.И волшебный зверь, названный королём... ",9.12
Wo bushi da mowang,Я не князь тьмы!,В цвете Веб Исекай Приключения Фэнтези ," Неожиданно я переродился в совершенно другом мире и за секунду стал князем тьмы?! И мне нужно командовать армией демонов, чтобы стереть с лица земли все человечество?! Эй, эй! Я ведь пацифист, что мне делать со всем этим!!! ",7.98
An outsider is better in the afterlife,Незнакомцы в другой жизни,Драма Психологическое Романтика Сейнен Школа ," К Ёшино всегда относились иначе, ведь она дочь главы Осака - самого большого клана Якудза. Все боялись ее и сторонились, так что у нее никогда не было парня. Все меняется, когда однажды она встречает Кирисиму, сына другой семьи Якудза, которого выбрали в качестве ее жениха. ",6.0
The Book Eating Magician,Пожиратель книг,Боевые искусства В цвете Веб Гарем Героическое фэнтези Драма Магия Приключения Сёнен Фэнтези ," Теодор Миллер, лучший ученик магической академии по теории и худший по практике, уже в третий раз получает уведомление о необходимости остаться на повторный курс. С каждым днём его мечта стать магом становится всё дальше и дальше. Однако одним прекрасным вечером этот одновременно талантливый и безнадежный студент обнаруживает, что теперь он может питаться... книгами, при этом обучаясь описанным в них заклинаниям. ",8.05
Melody of the Deadwood,Мелодия мёртвого леса,В цвете Веб Магия Приключения Романтика Сёдзе Смена пола Фэнтези ," ""В жизни нет ничего интересного.""  Поэтому я решила умереть. Но в момент, когда конец был прямо перед моими глазами…  ""Тогда мы сделаем твою жизнь интересной!""  Передо мной появилось пятеро из рода Бина. Они утверждали, что если умру я, то умрут и они, уговаривая меня продолжать жить. Я должна жить вечно?..  ""Я сделаю твою жизнь весёлой. Поэтому не умирай, ладно?"" ""Если станете нашим контрактником, сможете всю жизнь купаться в деньгах."" ""Милашка, только скажи, что тебе нужно?"" ""Вам будет достаточно просто сказать, чего вы желаете."" ""Их неординарность... Я не такой простой человек.""  Почему вы не можете просто погрузить меня в вечный сон и жить сами по себе?  Сможет ли Алькерис, мечтающая о смерти, на самом деле стать счастливой? ",9.5
Purple Hyacinth,Фиолетовый гиацинт,В цвете Веб Детектив Драма Комедия Романтика Трагедия Ужасы Экшен ," Её преследует давний призрак прошлого: вина за то, что она не смогла спасти от ужасной судьбы тех, кого любила, много лет назад. Однако, несмотря на это, её способность распознавать ложь сделала её выдающимся офицером полиции. Теперь же она использует свой могущественный дар, чтобы защитить беззащитных любой ценой, даже если это означает объединиться со смертельным убийцей, чтобы бороться со злом в этом сумасшедшем мире. ",8.33
I Woke Up as the Ugly Duckling,Я стала дрянной дочерью герцога,В цвете Веб Гарем Исекай Магия Романтика Сёдзе Супер сила Фэнтези ," Жила-была некрасивая дочь герцога со скверным характером. Однажды, чтобы привлечь внимание своих близких, что презирали ее, она выпила яд и умерла. Очутившись в теле Сильвии, я решила, что не стану жить, как она. В моем расположении деньги, власть и здоровое тело, а это значит, я проживу эту жизнь по-своему.  - Ты моя сестра, и ты часть Атланты. - Я не побеспокою тебя, просто оставайся рядом. - Я заинтересован в тебе. - В этом мире не существует ничего, что я не смог бы отыскать, поэтому даже не думай сбегать от меня. Черт возьми, почему семья и даже красавчики ведут себя так странно? Их поведение отличается от воспоминаний Сильвии. ",9.31
It's useless to hang,Бессмысленно быть привязанной,В цвете Веб Магия Романтика Сёдзе Фэнтези ," Любовь всей моей жизни, Рэйкан, стал императором. Наконец-то настал этот день - день коронации! А я стою рядом с ним и вот-вот стану императрицей. Однако этот титул достался не мне, а Вьенне, моей двоюродной сестре.  Я бросила всё, чтобы сделать Рэйкана императором, а взамен получила смерть. Меня использовали. Всё было ложью. Тщательно спланированный сценарий, главные герои которого - Вьенна и Рэйкан. Я была единственной, кто об этом не знал. Если мне выпадет второй шанс, ни за что не полюблю его снова, более того, заставлю его сильно пожалеть о соедеянном...  Каким-то образом, я вернулась в прошлое... В день, когда всё только начиналось... О даааа, милый, теперь я приложу все усилия для того, чтобы уничтожить тебя!  В этот раз я не позволю тебе привязаться ко мне! ",6.33
Gunnm Mars Chronicle,Боевой Ангел Алита: Марсианские хроники,Драма Научная фантастика Приключения Психологическое Сейнен Экшен ," Заключительная часть серии Gunnm, в которой рассказывается о войне на Марсе и раскрывается подоплёка всех произошедших впоследствии событий. ",0.0
Fool Night,Ночь дурака,Детектив Драма Комедия Мистика Музыка Приключения Психологическое Сверхъестественное Сёнен Фэнтези ," Выбор, предложенный подающим надежды новичком! Продолжать прикладывать усилия ради жизни человеком? Или же красиво осыпаться, подобно цветку? Душевно изображенный неизвестный мир будущего!  Земля будущего окружена плотными облаками, сквозь которые не пробивается солнечный свет. Мир увядающих растений и недостатка кислорода. Однако, люди освоили технологии превращения человека в растение и, добывая таким способом немного кислорода, продолжают выживать. Людям предстоит выбирать - продолжать ли выживать в этом безнадежном мире, или же, отбросив страдания, сделать шаг в новую жизнь в виде растений?  Знакомство с персонажами Тоширо - Юноша, живущий в нищете. Ёмико - Сотрудник клиники по превращению в растения ",0.0
IRIS - Lady with a Smartphone,Айрис - леди со смартфоном,В цвете Веб Драма Исекай Романтика Сёдзе Фэнтези ," Она была предана теми, кого любила всем сердцем и оказалась убитой собственным мужем. Она возродилась вновь с ""сильным оружием"" и воспоминаниями двух жизней. Она поклялась отомстить всем, кто причинил ей боль. ",8.0
Tomb Raider King,Расхититель гробниц,В цвете Веб Приключения Сёнен Фэнтези Экшен ," Божественные гробницы в современном мире. Люди, которые используют способности героев при помощи реликвий и люди, получившие богатства. А также загадочный расхититель гробниц, появившиеся из ниоткуда. «Ах, с ума сойти! И здесь он тоже все обчистил!» То, что было твоим – моё. То, что было моим, естественно, моё! Вновь возродившийся расхититель гробниц начал охоту на все реликвии этого мира! ",8.89
Behold the True Villainess,Злодейкой может стать любая!,В цвете Веб Исекай Комедия Магия Романтика Сёдзе Фэнтези ," Однажды я проснулась в теле Нивии Эрбер. Она делала все возможное ради благополучия своей семьи, ее жених предпочел ей другую женщину, а в конце концов ей пришлось пожертвовать своей жизнью во благо королевства... - И почему я должна умирать? К черту это все. - Ах, так значит все считают злыми деяниями то, на что мне приходится идти, чтобы спасти свою жизнь? Раз так, я с радостью стану злодейкой. ",9.5
